MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
ﭐ	ٱ	U+FB50 (ARABIC LETTER ALEF WASLA ISOLATED FORM) -> U+0671 (ARABIC LETTER ALEF WASLA)
ﭑ	ٱ	U+FB51 (ARABIC LETTER ALEF WASLA FINAL FORM) -> U+0671 (ARABIC LETTER ALEF WASLA)
ﭒ	ٻ	U+FB52 (ARABIC LETTER BEEH ISOLATED FORM) -> U+067B (ARABIC LETTER BEEH)
ﭓ	ٻ	U+FB53 (ARABIC LETTER BEEH FINAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭔ	ٻ	U+FB54 (ARABIC LETTER BEEH INITIAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭕ	ٻ	U+FB55 (ARABIC LETTER BEEH MEDIAL FORM) -> U+067B (ARABIC LETTER BEEH)
ﭖ	پ	U+FB56 (ARABIC LETTER PEH ISOLATED FORM) -> U+067E (ARABIC LETTER PEH)
ﭗ	پ	U+FB57 (ARABIC LETTER PEH FINAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭘ	پ	U+FB58 (ARABIC LETTER PEH INITIAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭙ	پ	U+FB59 (ARABIC LETTER PEH MEDIAL FORM) -> U+067E (ARABIC LETTER PEH)
ﭚ	ڀ	U+FB5A (ARABIC LETTER BEHEH ISOLATED FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭛ	ڀ	U+FB5B (ARABIC LETTER BEHEH FINAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭜ	ڀ	U+FB5C (ARABIC LETTER BEHEH INITIAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭝ	ڀ	U+FB5D (ARABIC LETTER BEHEH MEDIAL FORM) -> U+0680 (ARABIC LETTER BEHEH)
ﭞ	ٺ	U+FB5E (ARABIC LETTER TTEHEH ISOLATED FORM) -> U+067A (ARABIC LETTER TTEHEH)
ﭟ	ٺ	U+FB5F (ARABIC LETTER TTEHEH FINAL FORM) -> U+067A (ARABIC LETTER TTEHEH)
ﭠ	ٺ	U+FB60 (ARABIC LETTER TTEHEH INITIAL FORM) -> U+067A (ARABIC LETTER TTEHEH)
ﭡ	ٺ	U+FB61 (ARABIC LETTER TTEHEH MEDIAL FORM) -> U+067A (ARABIC LETTER TTEHEH)
ﭢ	ٿ	U+FB62 (ARABIC LETTER TEHEH ISOLATED FORM) -> U+067F (ARABIC LETTER TEHEH)
ﭣ	ٿ	U+FB63 (ARABIC LETTER TEHEH FINAL FORM) -> U+067F (ARABIC LETTER TEHEH)
ﭤ	ٿ	U+FB64 (ARABIC LETTER TEHEH INITIAL FORM) -> U+067F (ARABIC LETTER TEHEH)
ﭥ	ٿ	U+FB65 (ARABIC LETTER TEHEH MEDIAL FORM) -> U+067F (ARABIC LETTER TEHEH)
ﭦ	ٹ	U+FB66 (ARABIC LETTER TTEH ISOLATED FORM) -> U+0679 (ARABIC LETTER TTEH)
ﭧ	ٹ	U+FB67 (ARABIC LETTER TTEH FINAL FORM) -> U+0679 (ARABIC LETTER TTEH)
ﭨ	ٹ	U+FB68 (ARABIC LETTER TTEH INITIAL FORM) -> U+0679 (ARABIC LETTER TTEH)
ﭩ	ٹ	U+FB69 (ARABIC LETTER TTEH MEDIAL FORM) -> U+0679 (ARABIC LETTER TTEH)
ﭪ	ڤ	U+FB6A (ARABIC LETTER VEH ISOLATED FORM) -> U+06A4 (ARABIC LETTER VEH)
ﭫ	ڤ	U+FB6B (ARABIC LETTER VEH FINAL FORM) -> U+06A4 (ARABIC LETTER VEH)
ﭬ	ڤ	U+FB6C (ARABIC LETTER VEH INITIAL FORM) -> U+06A4 (ARABIC LETTER VEH)
ﭭ	ڤ	U+FB6D (ARABIC LETTER VEH MEDIAL FORM) -> U+06A4 (ARABIC LETTER VEH)
ﭮ	ڦ	U+FB6E (ARABIC LETTER PEHEH ISOLATED FORM) -> U+06A6 (ARABIC LETTER PEHEH)
ﭯ	ڦ	U+FB6F (ARABIC LETTER PEHEH FINAL FORM) -> U+06A6 (ARABIC LETTER PEHEH)
ﭰ	ڦ	U+FB70 (ARABIC LETTER PEHEH INITIAL FORM) -> U+06A6 (ARABIC LETTER PEHEH)
ﭱ	ڦ	U+FB71 (ARABIC LETTER PEHEH MEDIAL FORM) -> U+06A6 (ARABIC LETTER PEHEH)
ﭲ	ڄ	U+FB72 (ARABIC LETTER DYEH ISOLATED FORM) -> U+0684 (ARABIC LETTER DYEH)
ﭳ	ڄ	U+FB73 (ARABIC LETTER DYEH FINAL FORM) -> U+0684 (ARABIC LETTER DYEH)
ﭴ	ڄ	U+FB74 (ARABIC LETTER DYEH INITIAL FORM) -> U+0684 (ARABIC LETTER DYEH)
ﭵ	ڄ	U+FB75 (ARABIC LETTER DYEH MEDIAL FORM) -> U+0684 (ARABIC LETTER DYEH)
ﭶ	ڃ	U+FB76 (ARABIC LETTER NYEH ISOLATED FORM) -> U+0683 (ARABIC LETTER NYEH)
ﭷ	ڃ	U+FB77 (ARABIC LETTER NYEH FINAL FORM) -> U+0683 (ARABIC LETTER NYEH)
ﭸ	ڃ	U+FB78 (ARABIC LETTER NYEH INITIAL FORM) -> U+0683 (ARABIC LETTER NYEH)
ﭹ	ڃ	U+FB79 (ARABIC LETTER NYEH MEDIAL FORM) -> U+0683 (ARABIC LETTER NYEH)
ﭺ	چ	U+FB7A (ARABIC LETTER TCHEH ISOLATED FORM) -> U+0686 (ARABIC LETTER TCHEH)
ﭻ	چ	U+FB7B (ARABIC LETTER TCHEH FINAL FORM) -> U+0686 (ARABIC LETTER TCHEH)
ﭼ	چ	U+FB7C (ARABIC LETTER TCHEH INITIAL FORM) -> U+0686 (ARABIC LETTER TCHEH)
ﭽ	چ	U+FB7D (ARABIC LETTER TCHEH MEDIAL FORM) -> U+0686 (ARABIC LETTER TCHEH)
ﭾ	ڇ	U+FB7E (ARABIC LETTER TCHEHEH ISOLATED FORM) -> U+0687 (ARABIC LETTER TCHEHEH)
ﭿ	ڇ	U+FB7F (ARABIC LETTER TCHEHEH FINAL FORM) -> U+0687 (ARABIC LETTER TCHEHEH)
ﮀ	ڇ	U+FB80 (ARABIC LETTER TCHEHEH INITIAL FORM) -> U+0687 (ARABIC LETTER TCHEHEH)
ﮁ	ڇ	U+FB81 (ARABIC LETTER TCHEHEH MEDIAL FORM) -> U+0687 (ARABIC LETTER TCHEHEH)
ﮂ	ڍ	U+FB82 (ARABIC LETTER DDAHAL ISOLATED FORM) -> U+068D (ARABIC LETTER DDAHAL)
ﮃ	ڍ	U+FB83 (ARABIC LETTER DDAHAL FINAL FORM) -> U+068D (ARABIC LETTER DDAHAL)
ﮄ	ڌ	U+FB84 (ARABIC LETTER DAHAL ISOLATED FORM) -> U+068C (ARABIC LETTER DAHAL)
ﮅ	ڌ	U+FB85 (ARABIC LETTER DAHAL FINAL FORM) -> U+068C (ARABIC LETTER DAHAL)
ﮆ	ڎ	U+FB86 (ARABIC LETTER DUL ISOLATED FORM) -> U+068E (ARABIC LETTER DUL)
ﮇ	ڎ	U+FB87 (ARABIC LETTER DUL FINAL FORM) -> U+068E (ARABIC LETTER DUL)
ﮈ	ڈ	U+FB88 (ARABIC LETTER DDAL ISOLATED FORM) -> U+0688 (ARABIC LETTER DDAL)
ﮉ	ڈ	U+FB89 (ARABIC LETTER DDAL FINAL FORM) -> U+0688 (ARABIC LETTER DDAL)
ﮊ	ژ	U+FB8A (ARABIC LETTER JEH ISOLATED FORM) -> U+0698 (ARABIC LETTER JEH)
ﮋ	ژ	U+FB8B (ARABIC LETTER JEH FINAL FORM) -> U+0698 (ARABIC LETTER JEH)
ﮌ	ڑ	U+FB8C (ARABIC LETTER RREH ISOLATED FORM) -> U+0691 (ARABIC LETTER RREH)
ﮍ	ڑ	U+FB8D (ARABIC LETTER RREH FINAL FORM) -> U+0691 (ARABIC LETTER RREH)
ﮎ	ک	U+FB8E (ARABIC LETTER KEHEH ISOLATED FORM) -> U+06A9 (ARABIC LETTER KEHEH)
ﮏ	ک	U+FB8F (ARABIC LETTER KEHEH FINAL FORM) -> U+06A9 (ARABIC LETTER KEHEH)
ﮐ	ک	U+FB90 (ARABIC LETTER KEHEH INITIAL FORM) -> U+06A9 (ARABIC LETTER KEHEH)
ﮑ	ک	U+FB91 (ARABIC LETTER KEHEH MEDIAL FORM) -> U+06A9 (ARABIC LETTER KEHEH)
ﮒ	گ	U+FB92 (ARABIC LETTER GAF ISOLATED FORM) -> U+06AF (ARABIC LETTER GAF)
ﮓ	گ	U+FB93 (ARABIC LETTER GAF FINAL FORM) -> U+06AF (ARABIC LETTER GAF)
ﮔ	گ	U+FB94 (ARABIC LETTER GAF INITIAL FORM) -> U+06AF (ARABIC LETTER GAF)
ﮕ	گ	U+FB95 (ARABIC LETTER GAF MEDIAL FORM) -> U+06AF (ARABIC LETTER GAF)
ﮖ	ڳ	U+FB96 (ARABIC LETTER GUEH ISOLATED FORM) -> U+06B3 (ARABIC LETTER GUEH)
ﮗ	ڳ	U+FB97 (ARABIC LETTER GUEH FINAL FORM) -> U+06B3 (ARABIC LETTER GUEH)
ﮘ	ڳ	U+FB98 (ARABIC LETTER GUEH INITIAL FORM) -> U+06B3 (ARABIC LETTER GUEH)
ﮙ	ڳ	U+FB99 (ARABIC LETTER GUEH MEDIAL FORM) -> U+06B3 (ARABIC LETTER GUEH)
ﮚ	ڱ	U+FB9A (ARABIC LETTER NGOEH ISOLATED FORM) -> U+06B1 (ARABIC LETTER NGOEH)
ﮛ	ڱ	U+FB9B (ARABIC LETTER NGOEH FINAL FORM) -> U+06B1 (ARABIC LETTER NGOEH)
ﮜ	ڱ	U+FB9C (ARABIC LETTER NGOEH INITIAL FORM) -> U+06B1 (ARABIC LETTER NGOEH)
ﮝ	ڱ	U+FB9D (ARABIC LETTER NGOEH MEDIAL FORM) -> U+06B1 (ARABIC LETTER NGOEH)
ﮞ	ں	U+FB9E (ARABIC LETTER NOON GHUNNA ISOLATED FORM) -> U+06BA (ARABIC LETTER NOON GHUNNA)
ﮟ	ں	U+FB9F (ARABIC LETTER NOON GHUNNA FINAL FORM) -> U+06BA (ARABIC LETTER NOON GHUNNA)
ﮠ	ڻ	U+FBA0 (ARABIC LETTER RNOON ISOLATED FORM) -> U+06BB (ARABIC LETTER RNOON)
ﮡ	ڻ	U+FBA1 (ARABIC LETTER RNOON FINAL FORM) -> U+06BB (ARABIC LETTER RNOON)
ﮢ	ڻ	U+FBA2 (ARABIC LETTER RNOON INITIAL FORM) -> U+06BB (ARABIC LETTER RNOON)
ﮣ	ڻ	U+FBA3 (ARABIC LETTER RNOON MEDIAL FORM) -> U+06BB (ARABIC LETTER RNOON)
ﮤ	ۀ	U+FBA4 (ARABIC LETTER HEH WITH YEH ABOVE ISOLATED FORM) -> U+06C0 (ARABIC LETTER HEH WITH YEH ABOVE)
ﮥ	ۀ	U+FBA5 (ARABIC LETTER HEH WITH YEH ABOVE FINAL FORM) -> U+06C0 (ARABIC LETTER HEH WITH YEH ABOVE)
ﮦ	ہ	U+FBA6 (ARABIC LETTER HEH GOAL ISOLATED FORM) -> U+06C1 (ARABIC LETTER HEH GOAL)
ﮧ	ہ	U+FBA7 (ARABIC LETTER HEH GOAL FINAL FORM) -> U+06C1 (ARABIC LETTER HEH GOAL)
ﮨ	ہ	U+FBA8 (ARABIC LETTER HEH GOAL INITIAL FORM) -> U+06C1 (ARABIC LETTER HEH GOAL)
ﮩ	ہ	U+FBA9 (ARABIC LETTER HEH GOAL MEDIAL FORM) -> U+06C1 (ARABIC LETTER HEH GOAL)
ﮪ	ھ	U+FBAA (ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM) -> U+06BE (ARABIC LETTER HEH DOACHASHMEE)
ﮫ	ھ	U+FBAB (ARABIC LETTER HEH DOACHASHMEE FINAL FORM) -> U+06BE (ARABIC LETTER HEH DOACHASHMEE)
ﮬ	ھ	U+FBAC (ARABIC LETTER HEH DOACHASHMEE INITIAL FORM) -> U+06BE (ARABIC LETTER HEH DOACHASHMEE)
ﮭ	ھ	U+FBAD (ARABIC LETTER HEH DOACHASHMEE MEDIAL FORM) -> U+06BE (ARABIC LETTER HEH DOACHASHMEE)
ﮮ	ے	U+FBAE (ARABIC LETTER YEH BARREE ISOLATED FORM) -> U+06D2 (ARABIC LETTER YEH BARREE)
ﮯ	ے	U+FBAF (ARABIC LETTER YEH BARREE FINAL FORM) -> U+06D2 (ARABIC LETTER YEH BARREE)
ﮰ	ۓ	U+FBB0 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM) -> U+06D3 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE)
ﮱ	ۓ	U+FBB1 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM) -> U+06D3 (ARABIC LETTER YEH BARREE WITH HAMZA ABOVE)
ﯓ	ڭ	U+FBD3 (ARABIC LETTER NG ISOLATED FORM) -> U+06AD (ARABIC LETTER NG)
ﯔ	ڭ	U+FBD4 (ARABIC LETTER NG FINAL FORM) -> U+06AD (ARABIC LETTER NG)
ﯕ	ڭ	U+FBD5 (ARABIC LETTER NG INITIAL FORM) -> U+06AD (ARABIC LETTER NG)
ﯖ	ڭ	U+FBD6 (ARABIC LETTER NG MEDIAL FORM) -> U+06AD (ARABIC LETTER NG)
ﯗ	ۇ	U+FBD7 (ARABIC LETTER U ISOLATED FORM) -> U+06C7 (ARABIC LETTER U)
ﯘ	ۇ	U+FBD8 (ARABIC LETTER U FINAL FORM) -> U+06C7 (ARABIC LETTER U)
ﯙ	ۆ	U+FBD9 (ARABIC LETTER OE ISOLATED FORM) -> U+06C6 (ARABIC LETTER OE)
ﯚ	ۆ	U+FBDA (ARABIC LETTER OE FINAL FORM) -> U+06C6 (ARABIC LETTER OE)
ﯛ	ۈ	U+FBDB (ARABIC LETTER YU ISOLATED FORM) -> U+06C8 (ARABIC LETTER YU)
ﯜ	ۈ	U+FBDC (ARABIC LETTER YU FINAL FORM) -> U+06C8 (ARABIC LETTER YU)
ﯝ	ٷ	U+FBDD (ARABIC LETTER U WITH HAMZA ABOVE ISOLATED FORM) -> U+0677 (ARABIC LETTER U WITH HAMZA ABOVE)   NFKC-ref: ۇٴ
ﯞ	ۋ	U+FBDE (ARABIC LETTER VE ISOLATED FORM) -> U+06CB (ARABIC LETTER VE)
ﯟ	ۋ	U+FBDF (ARABIC LETTER VE FINAL FORM) -> U+06CB (ARABIC LETTER VE)
ﯠ	ۅ	U+FBE0 (ARABIC LETTER KIRGHIZ OE ISOLATED FORM) -> U+06C5 (ARABIC LETTER KIRGHIZ OE)
ﯡ	ۅ	U+FBE1 (ARABIC LETTER KIRGHIZ OE FINAL FORM) -> U+06C5 (ARABIC LETTER KIRGHIZ OE)
ﯢ	ۉ	U+FBE2 (ARABIC LETTER KIRGHIZ YU ISOLATED FORM) -> U+06C9 (ARABIC LETTER KIRGHIZ YU)
ﯣ	ۉ	U+FBE3 (ARABIC LETTER KIRGHIZ YU FINAL FORM) -> U+06C9 (ARABIC LETTER KIRGHIZ YU)
ﯤ	ې	U+FBE4 (ARABIC LETTER E ISOLATED FORM) -> U+06D0 (ARABIC LETTER E)
ﯥ	ې	U+FBE5 (ARABIC LETTER E FINAL FORM) -> U+06D0 (ARABIC LETTER E)
ﯦ	ې	U+FBE6 (ARABIC LETTER E INITIAL FORM) -> U+06D0 (ARABIC LETTER E)
ﯧ	ې	U+FBE7 (ARABIC LETTER E MEDIAL FORM) -> U+06D0 (ARABIC LETTER E)
ﯨ	ى	U+FBE8 (ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA INITIAL FORM) -> U+0649 (ARABIC LETTER ALEF MAKSURA)
ﯩ	ى	U+FBE9 (ARABIC LETTER UIGHUR KAZAKH KIRGHIZ ALEF MAKSURA MEDIAL FORM) -> U+0649 (ARABIC LETTER ALEF MAKSURA)
ﯪ	ئا	U+FBEA (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0627 (ARABIC LETTER ALEF)
ﯫ	ئا	U+FBEB (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0627 (ARABIC LETTER ALEF)
ﯬ	ئە	U+FBEC (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06D5 (ARABIC LETTER AE)
ﯭ	ئە	U+FBED (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH AE FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06D5 (ARABIC LETTER AE)
ﯮ	ئو	U+FBEE (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0648 (ARABIC LETTER WAW)
ﯯ	ئو	U+FBEF (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH WAW FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0648 (ARABIC LETTER WAW)
ﯰ	ئۇ	U+FBF0 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C7 (ARABIC LETTER U)
ﯱ	ئۇ	U+FBF1 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH U FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C7 (ARABIC LETTER U)
ﯲ	ئۆ	U+FBF2 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C6 (ARABIC LETTER OE)
ﯳ	ئۆ	U+FBF3 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH OE FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C6 (ARABIC LETTER OE)
ﯴ	ئۈ	U+FBF4 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C8 (ARABIC LETTER YU)
ﯵ	ئۈ	U+FBF5 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YU FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06C8 (ARABIC LETTER YU)
ﯶ	ئې	U+FBF6 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06D0 (ARABIC LETTER E)
ﯷ	ئې	U+FBF7 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06D0 (ARABIC LETTER E)
ﯸ	ئې	U+FBF8 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH E INITIAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+06D0 (ARABIC LETTER E)
ﯹ	ئى	U+FBF9 (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﯺ	ئى	U+FBFA (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA FINAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﯻ	ئى	U+FBFB (ARABIC LIGATURE UIGHUR KIRGHIZ YEH WITH HAMZA ABOVE WITH ALEF MAKSURA INITIAL FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﯼ	ی	U+FBFC (ARABIC LETTER FARSI YEH ISOLATED FORM) -> U+06CC (ARABIC LETTER FARSI YEH)
ﯽ	ی	U+FBFD (ARABIC LETTER FARSI YEH FINAL FORM) -> U+06CC (ARABIC LETTER FARSI YEH)
ﯾ	ی	U+FBFE (ARABIC LETTER FARSI YEH INITIAL FORM) -> U+06CC (ARABIC LETTER FARSI YEH)
ﯿ	ی	U+FBFF (ARABIC LETTER FARSI YEH MEDIAL FORM) -> U+06CC (ARABIC LETTER FARSI YEH)
ﰀ	ئج	U+FC00 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH JEEM ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+062C (ARABIC LETTER JEEM)
ﰁ	ئح	U+FC01 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HAH ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+062D (ARABIC LETTER HAH)
ﰂ	ئم	U+FC02 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0645 (ARABIC LETTER MEEM)
ﰃ	ئى	U+FC03 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH ALEF MAKSURA ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰄ	ئي	U+FC04 (ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH YEH ISOLATED FORM) -> U+0626 (ARABIC LETTER YEH WITH HAMZA ABOVE) U+064A (ARABIC LETTER YEH)
ﰅ	بج	U+FC05 (ARABIC LIGATURE BEH WITH JEEM ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062C (ARABIC LETTER JEEM)
ﰆ	بح	U+FC06 (ARABIC LIGATURE BEH WITH HAH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062D (ARABIC LETTER HAH)
ﰇ	بخ	U+FC07 (ARABIC LIGATURE BEH WITH KHAH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+062E (ARABIC LETTER KHAH)
ﰈ	بم	U+FC08 (ARABIC LIGATURE BEH WITH MEEM ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+0645 (ARABIC LETTER MEEM)
ﰉ	بى	U+FC09 (ARABIC LIGATURE BEH WITH ALEF MAKSURA ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰊ	بي	U+FC0A (ARABIC LIGATURE BEH WITH YEH ISOLATED FORM) -> U+0628 (ARABIC LETTER BEH) U+064A (ARABIC LETTER YEH)
ﰋ	تج	U+FC0B (ARABIC LIGATURE TEH WITH JEEM ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062C (ARABIC LETTER JEEM)
ﰌ	تح	U+FC0C (ARABIC LIGATURE TEH WITH HAH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062D (ARABIC LETTER HAH)
ﰍ	تخ	U+FC0D (ARABIC LIGATURE TEH WITH KHAH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+062E (ARABIC LETTER KHAH)
ﰎ	تم	U+FC0E (ARABIC LIGATURE TEH WITH MEEM ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+0645 (ARABIC LETTER MEEM)
ﰏ	تى	U+FC0F (ARABIC LIGATURE TEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰐ	تي	U+FC10 (ARABIC LIGATURE TEH WITH YEH ISOLATED FORM) -> U+062A (ARABIC LETTER TEH) U+064A (ARABIC LETTER YEH)
ﰑ	ثج	U+FC11 (ARABIC LIGATURE THEH WITH JEEM ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+062C (ARABIC LETTER JEEM)
ﰒ	ثم	U+FC12 (ARABIC LIGATURE THEH WITH MEEM ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+0645 (ARABIC LETTER MEEM)
ﰓ	ثى	U+FC13 (ARABIC LIGATURE THEH WITH ALEF MAKSURA ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+0649 (ARABIC LETTER ALEF MAKSURA)
ﰔ	ثي	U+FC14 (ARABIC LIGATURE THEH WITH YEH ISOLATED FORM) -> U+062B (ARABIC LETTER THEH) U+064A (ARABIC LETTER YEH)
ﰕ	جح	U+FC15 (ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM) -> U+062C (ARABIC LETTER JEEM) U+062D (ARABIC LETTER HAH)
ﰖ	جم	U+FC16 (ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM) -> U+062C (ARABIC LETTER JEEM) U+0645 (ARABIC LETTER MEEM)
ﰗ	حج	U+FC17 (ARABIC LIGATURE HAH WITH JEEM ISOLATED FORM) -> U+062D (ARABIC LETTER HAH) U+062C (ARABIC LETTER JEEM)
ﰘ	حم	U+FC18 (ARABIC LIGATURE HAH WITH MEEM ISOLATED FORM) -> U+062D (ARABIC LETTER HAH) U+0645 (ARABIC LETTER MEEM)
ﰙ	خج	U+FC19 (ARABIC LIGATURE KHAH WITH JEEM ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+062C (ARABIC LETTER JEEM)
ﰚ	خح	U+FC1A (ARABIC LIGATURE KHAH WITH HAH ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+062D (ARABIC LETTER HAH)
ﰛ	خم	U+FC1B (ARABIC LIGATURE KHAH WITH MEEM ISOLATED FORM) -> U+062E (ARABIC LETTER KHAH) U+0645 (ARABIC LETTER MEEM)
ﰜ	سج	U+FC1C (ARABIC LIGATURE SEEN WITH JEEM ISOLATED FORM) -> U+0633 (ARABIC LETTER SEEN) U+062C (ARABIC LETTER JEEM)
